State_Name,County,Mean_Income,Population
Alabama,Autauga County,53735.55724,54864
Alabama,Barbour County,37725,26283
Alabama,Blount County,55127,57526
Alabama,Butler County,27993,20162
Alabama,Chambers County,45107,33996
Alabama,Chilton County,43767,43700
Alabama,Colbert County,60729,54417
Alabama,Coosa County,31229,10934
Alabama,Covington County,46370,37556
Alabama,Cullman County,54514.5,81761
Alabama,DeKalb County,47929,71087
Alabama,Elmore County,49958,80872
Alabama,Escambia County,33737,37661
Alabama,Etowah County,50459.66667,102998
Alabama,Franklin County,55758.5,31515
Alabama,Geneva County,41057,26631
Alabama,Greene County,32777,8508
Alabama,Hale County,34452.5,15015
Alabama,Jackson County,56029,52195
Alabama,Jefferson County,106463,660455
Alabama,Lamar County,44572,13927
Alabama,Lawrence County,42079,33135
Alabama,Lee County,64649,156954
Alabama,Marion County,45143.5,30119
Alabama,Mobile County,56973.42857,414462
Alabama,Morgan County,57994,119257
Alabama,Pickens County,35028,20776
Alabama,Randolph County,48217,22594
Alabama,Shelby County,61313.33333,208959
Alabama,St. Clair County,0,86546
Alabama,Sumter County,22603,13206
Alabama,Talladega County,54807,81128
Alabama,Tallapoosa County,55849,40605
Alabama,Tuscaloosa County,59112.5,204767
Alabama,Walker County,51907,64931
Alabama,Washington County,67392,16832
Alaska,Aleutians East Borough,83098.42254,3373
Alaska,Aleutians West Census Area,67102,5781
Alaska,Bethel Census Area,49088.66667,17955
Alaska,Denali Borough,94520.5,1933
Alaska,Dillingham Census Area,79728,4988
Alaska,Fairbanks North Star Borough,83034.5,99636
Alaska,Haines Borough,101864,2516
Alaska,Kenai Peninsula Borough,76885,58034
Alaska,Ketchikan Gateway Borough,0,13702
Alaska,Kodiak Island Borough,74363,13767
Alaska,Kusilvak Census Area,49674.33333,8194
Alaska,Matanuska-Susitna Borough,77110,101062
Alaska,Nome Census Area,73951,9893
Alaska,North Slope Borough,78415,9788
Alaska,Northwest Arctic Borough,60776.5,7772
Alaska,Petersburg Borough,79191,3253
Alaska,Prince of Wales-Hyder Census Area,39794,6508
Alaska,Skagway Municipality,81352,1088
Alaska,Southeast Fairbanks Census Area,242857,6812
Alaska,Valdez-Cordova Census Area,28542.5,9319
Alaska,Yukon-Koyukuk Census Area,38191.75,5465
Arizona,Apache County,63183.57343,71012
Arizona,Cochise County,42740.33333,126454
Arizona,Coconino County,62513.5,138962
Arizona,Gila County,81213.57143,52978
Arizona,Graham County,55575,37860
Arizona,Maricopa County,75077,4172905
Arizona,Mohave County,50804.14286,204574
Arizona,Navajo County,36601.83333,107638
Arizona,Pima County,55898.6,1009103
Arizona,Pinal County,58458.33333,405614
Arizona,Santa Cruz County,41648,46542
Arizona,Yavapai County,46226,220805
Arizona,Yuma County,38239.75,205186
Arkansas,Arkansas County,53392.40845,18330
Arkansas,Ashley County,43595,20838
Arkansas,Benton County,51528,251591
Arkansas,Bradley County,40194,10999
Arkansas,Clay County,41443,15206
Arkansas,Cleburne County,56439,25355
Arkansas,Columbia County,48380,24115
Arkansas,Conway County,55086,20936
Arkansas,Craighead County,43930.33333,104457
Arkansas,Crawford County,49044,61904
Arkansas,Dallas County,38731,7530
Arkansas,Faulkner County,61441,121241
Arkansas,Fulton County,141250,12138
Arkansas,Garland County,52558,97814
Arkansas,Grant County,48025,18016
Arkansas,Greene County,40121,44300
Arkansas,Hot Spring County,39519,33497
Arkansas,Jackson County,38032.66667,17365
Arkansas,Lee County,32433.66667,9672
Arkansas,Little River County,46324,12402
Arkansas,Lonoke County,49237,71359
Arkansas,Madison County,36716,15705
Arkansas,Marion County,43262,16215
Arkansas,Mississippi County,48019.33333,43729
Arkansas,Montgomery County,31172,9027
Arkansas,Newton County,44172,7846
Arkansas,Ouachita County,29658,24316
Arkansas,Perry County,46284,10307
Arkansas,Phillips County,30032,19546
Arkansas,Pike County,42990,10837
Arkansas,Polk County,28560.5,20194
Arkansas,Pope County,42109,63608
Arkansas,Pulaski County,31297,393576
Arkansas,Randolph County,25318,17437
Arkansas,Saline County,54028,116390
Arkansas,Sebastian County,47261.5,127385
Arkansas,St. Francis County,45900,26651
Arkansas,Union County,31456,40086
Arkansas,Van Buren County,29546,16808
Arkansas,Washington County,112207,224434
Arkansas,White County,35811,78915
Arkansas,Woodruff County,35812,6706
California,Alameda County,78596.13139,1634538
California,Amador County,52845.66667,37031
California,Butte County,63420.66667,224631
California,Calaveras County,81593,44965
California,Contra Costa County,87779.83333,1124405
California,Fresno County,43426,969488
California,Glenn County,43059,27753
California,Humboldt County,38625.8,135102
California,Inyo County,24696,18108
California,Kern County,52372.875,876031
California,Lassen County,91621.5,31256
California,Los Angeles County,80469.625,10085416
California,Madera County,48031.5,153576
California,Marin County,123775,260916
California,Mendocino County,84082,87107
California,Merced County,53578.5,266353
California,Modoc County,38885.33333,9056
California,Mono County,33158,14077
California,Monterey County,75691,430552
California,Nevada County,30614,98676
California,Orange County,113636.6667,3149280
California,Placer County,68839,372841
California,Plumas County,59282.5,18427
California,Riverside County,70251.83333,2345816
California,Sacramento County,84968.5,1493674
California,San Bernardino County,63765.81818,2115411
California,San Diego County,78786.8,3280850
California,San Joaquin County,66536.5,722271
California,San Luis Obispo County,69471.8,280077
California,San Mateo County,88415,765055
California,Santa Barbara County,85404.66667,442229
California,Santa Clara County,114203.3333,1916285
California,Santa Cruz County,85595.44444,273503
California,Shasta County,52129.4,178314
California,Sierra County,21163,2985
California,Solano County,107548,433409
California,Sonoma County,69292.83333,500863
California,Stanislaus County,34343,533211
California,Tehama County,46286,63158
California,Tulare County,42335,457161
California,Ventura County,57660,845802
California,Yuba County,55171.5,74045
Colorado,Adams County,73878.75105,490443
Colorado,Arapahoe County,117162,630984
Colorado,Baca County,47555,3555
Colorado,Bent County,47822,5889
Colorado,Boulder County,131295.6667,318027
Colorado,Chaffee County,55052,18612
Colorado,Cheyenne County,47895,1827
Colorado,Clear Creek County,58245,9244
Colorado,Douglas County,90612,322025
Colorado,Eagle County,53686,53865
Colorado,El Paso County,113743,674001
Colorado,Fremont County,46944.33333,46282
Colorado,Garfield County,74969,57698
Colorado,Grand County,50812,14726
Colorado,Gunnison County,66372,16104
Colorado,Jefferson County,80744.2,564888
Colorado,Kit Carson County,40004,8215
Colorado,Larimer County,106452,333303
Colorado,Mineral County,44307,744
Colorado,Montezuma County,56546.5,25716
Colorado,Morgan County,65043.66667,28252
Colorado,Park County,49817,16726
Colorado,Pueblo County,50623,163006
Colorado,Rio Grande County,10946,11352
Colorado,Routt County,63136.5,24360
Colorado,Sedgwick County,40647,2373
Colorado,Summit County,89735,30045
Colorado,Weld County,69640.33333,285819
Colorado,Yuma County,57309,10037
Connecticut,Fairfield County,89432.60983,944943
Connecticut,Litchfield County,76156.66667,184122
Connecticut,New Haven County,70594,860186
Connecticut,New London County,90262,269636
Connecticut,Tolland County,119346,151734
Connecticut,Windham County,62452,116487
Delaware,Kent County,69757.52381,173128
Delaware,New Castle County,87980,553488
Delaware,Sussex County,74971.33333,214636
Florida,Alachua County,60866.63839,259052
Florida,Baker County,60142,27355
Florida,Brevard County,79338.5,565746
Florida,Broward County,52225.2,1885040
Florida,Citrus County,72920,140287
Florida,Clay County,67620,202392
Florida,Collier County,113840,356041
Florida,Dixie County,36132,16353
Florida,Escambia County,37010.5,309311
Florida,Flagler County,51038,104436
Florida,Gadsden County,46282,46060
Florida,Hardee County,38331,27177
Florida,Hernando County,45229,177900
Florida,Hillsborough County,77150.66667,1364073
Florida,Indian River County,126054.5,147434
Florida,Jackson County,44686.5,48609
Florida,Lake County,39754.33333,325154
Florida,Lee County,48948.8,699644
Florida,Levy County,42249,39601
Florida,Liberty County,50123,8409
Florida,Manatee County,41607.5,362548
Florida,Miami-Dade County,85332.22222,2659839
Florida,Nassau County,51922,77951
Florida,Okaloosa County,72175,197748
Florida,Orange County,69439.4,1291301
Florida,Palm Beach County,65323,1424256
Florida,Pasco County,50796.85714,494895
Florida,Pinellas County,43415,947060
Florida,Polk County,53186,648523
Florida,Santa Rosa County,62825.5,166226
Florida,Sarasota County,65150.5,404761
Florida,St. Johns County,83456,226362
Florida,St. Lucie County,40362,297282
Florida,Volusia County,75162.5,516730
Florida,Wakulla County,38309,31523
Florida,Washington County,34261,24552
Georgia,Appling County,61020.17843,18423
Georgia,Banks County,38679,18381
Georgia,Barrow County,67397,74979
Georgia,Bartow County,67023,102043
Georgia,Brooks County,34297,15670
Georgia,Calhoun County,45609,6534
Georgia,Carroll County,50473,114461
Georgia,Cherokee County,76422,235329
Georgia,Cobb County,63423,739052
Georgia,Dade County,43128,16162
Georgia,Decatur County,56399,27049
Georgia,DeKalb County,69446,734434
Georgia,Dodge County,41632.5,21142
Georgia,Dougherty County,41702,91513
Georgia,Emanuel County,43133,22471
Georgia,Evans County,59343,10690
Georgia,Floyd County,45462.33333,96186
Georgia,Franklin County,50011,22267
Georgia,Fulton County,85560,1005127
Georgia,Greene County,30565,16617
Georgia,Gwinnett County,74695,888494
Georgia,Habersham County,52078,43792
Georgia,Hall County,70659,192245
Georgia,Harris County,53882,33155
Georgia,Hart County,46956,25410
Georgia,Henry County,52731,216414
Georgia,Jackson County,76773,63418
Georgia,Jeff Davis County,46844,15013
Georgia,Jenkins County,46736,8899
Georgia,Laurens County,43732.66667,47486
Georgia,Long County,46236,17658
Georgia,Lowndes County,38121,113342
Georgia,Macon County,27855,13688
Georgia,Mitchell County,56576,22449
Georgia,Morgan County,53822,17948
Georgia,Newton County,47196,104884
Georgia,Oconee County,84343,35853
Georgia,Peach County,50358,26970
Georgia,Pierce County,47412,19094
Georgia,Pike County,31458,17925
Georgia,Richmond County,54684.5,201451
Georgia,Screven County,35591.5,14059
Georgia,Sumter County,39047,30696
Georgia,Taylor County,40631,8243
Georgia,Terrell County,31468,9013
Georgia,Upson County,56785.5,26231
Georgia,Walker County,41061,68537
Georgia,Washington County,70254,20736
Georgia,Wilkinson County,44853,9080
Hawaii,Hawaii County,77085.21875,195975
Hawaii,Honolulu County,98232.33333,991064
Hawaii,Kauai County,71278.5,71021
Hawaii,Maui County,72882,163904
Idaho,Ada County,57745.82677,432862
Idaho,Bear Lake County,52532,5879
Idaho,Bingham County,67394,45057
Idaho,Bonner County,53935.5,41600
Idaho,Clark County,47891,886
Idaho,Clearwater County,46769,8554
Idaho,Custer County,22836.5,4059
Idaho,Elmore County,36529,25826
Idaho,Franklin County,56384,12955
Idaho,Latah County,55691,38796
Idaho,Lemhi County,38494,7737
Idaho,Minidoka County,32351,20430
Idaho,Nez Perce County,51488,39995
Idaho,Power County,51708,7687
Idaho,Teton County,70756,10725
Idaho,Twin Falls County,48329.66667,82245
Idaho,Washington County,35964,9891
Illinois,Adams County,69956.85179,66835
Illinois,Bond County,38008,16686
Illinois,Boone County,57132,53579
Illinois,Brown County,41238,6753
Illinois,Bureau County,54736.25,33491
Illinois,Calhoun County,44452,4860
Illinois,Carroll County,53555,14642
Illinois,Champaign County,69910,209382
Illinois,Clay County,43105,13401
Illinois,Clinton County,79122.5,37665
Illinois,Coles County,59163,52179
Illinois,Cook County,70415.68421,5244088
Illinois,Crawford County,53516,19255
Illinois,Cumberland County,46326,10860
Illinois,DuPage County,89241.5,933609
Illinois,Franklin County,39404,39383
Illinois,Fulton County,51881,35713
Illinois,Grundy County,0,50363
Illinois,Hamilton County,46213,8248
Illinois,Hancock County,50335,18216
Illinois,Hardin County,37181,4067
Illinois,Henderson County,48988,6997
Illinois,Iroquois County,53561.8,28522
Illinois,Jefferson County,64741,38272
Illinois,Johnson County,41659,12777
Illinois,Kane County,88365.66667,528760
Illinois,Kendall County,86247,122878
Illinois,Knox County,54284,51370
Illinois,Lake County,101288,704611
Illinois,LaSalle County,65351.85714,111019
Illinois,Lawrence County,41874,16465
Illinois,Livingston County,59677,36605
Illinois,Logan County,62508.66667,29284
Illinois,Macon County,68530.33333,107343
Illinois,Macoupin County,52827,45876
Illinois,Madison County,58032.75,265996
Illinois,Marion County,49129,38359
Illinois,Mason County,56618,13863
Illinois,Massac County,42531,14567
Illinois,McHenry County,91298,307572
Illinois,McLean County,47531,173141
Illinois,Menard County,53457,12356
Illinois,Mercer County,59462.75,15746
Illinois,Monroe County,63415,33739
Illinois,Montgomery County,42340.5,29192
Illinois,Moultrie County,52185,14743
Illinois,Ogle County,63802,51559
Illinois,Peoria County,65758.5,186481
Illinois,Perry County,54016,21521
Illinois,Piatt County,66427,16350
Illinois,Pike County,35944,15795
Illinois,Pulaski County,31895,5657
Illinois,Richland County,51968,15957
Illinois,Rock Island County,63533.5,146094
Illinois,Sangamon County,103553,198898
Illinois,Scott County,54241,5110
Illinois,Shelby County,48099.5,21819
Illinois,Stephenson County,53671.5,45668
Illinois,Tazewell County,60161.33333,134302
Illinois,Union County,52689,17284
Illinois,Vermilion County,46369,79170
Illinois,Wabash County,54200,11624
Illinois,Washington County,59624.5,14262
Illinois,Wayne County,40321.5,16517
Illinois,White County,46211,14204
Illinois,Whiteside County,63216,56919
Illinois,Will County,56254,685877
Illinois,Williamson County,44915,67428
Illinois,Winnebago County,66714,287148
Illinois,Woodford County,78579,38930
Indiana,Adams County,59016.1643,34945
Indiana,Allen County,44825,367362
Indiana,Bartholomew County,53282,81458
Indiana,Benton County,53282,8693
Indiana,Boone County,82701,63033
Indiana,Carroll County,48951,19887
Indiana,Clark County,56077,114819
Indiana,Clinton County,53948,32373
Indiana,Crawford County,47364,10555
Indiana,DeKalb County,48206.5,42496
Indiana,Elkhart County,49042,202995
Indiana,Floyd County,85155,76505
Indiana,Franklin County,58682,22940
Indiana,Gibson County,48294,33644
Indiana,Grant County,54580,67479
Indiana,Harrison County,43586,39532
Indiana,Hendricks County,98925,157776
Indiana,Henry County,43994,48655
Indiana,Jackson County,39698,43875
Indiana,Jay County,39091,21137
Indiana,Johnson County,58136,148962
Indiana,Knox County,53557,37760
Indiana,Kosciusko County,55164.5,78547
Indiana,Lake County,85445.5,487908
Indiana,LaPorte County,92138,110835
Indiana,Madison County,162624,129388
Indiana,Marion County,93432.5,939843
Indiana,Miami County,40143,36004
Indiana,Monroe County,51742.5,144247
Indiana,Montgomery County,57055,38243
Indiana,Morgan County,55079.66667,69559
Indiana,Noble County,47695,47515
Indiana,Parke County,42532,16970
Indiana,Porter County,101407.75,167334
Indiana,Posey County,50263,25613
Indiana,Putnam County,77737,37382
Indiana,Rush County,53079,16708
Indiana,Shelby County,60141,44341
Indiana,Spencer County,52700,20640
Indiana,St. Joseph County,78132,268361
Indiana,Steuben County,48504,34469
Indiana,Switzerland County,14657,10614
Indiana,Tipton County,52232,15249
Indiana,Vigo County,65430.5,107533
Indiana,Warren County,47278,8270
Indiana,Warrick County,59987.5,61522
Indiana,Washington County,36973,27774
Indiana,Wayne County,48592.5,66972
Indiana,White County,60923,24274
Indiana,Whitley County,42963,33444
Iowa,Adair County,64375.62717,7145
Iowa,Adams County,63647,3754
Iowa,Appanoose County,40920,12577
Iowa,Benton County,57531,25608
Iowa,Boone County,87384,26443
Iowa,Buchanan County,63804,21105
Iowa,Butler County,54214,14881
Iowa,Calhoun County,34329,9801
Iowa,Carroll County,64202.5,20423
Iowa,Cass County,48717.5,13351
Iowa,Cerro Gordo County,51074.5,42983
Iowa,Cherokee County,48140,11483
Iowa,Clarke County,44811,9219
Iowa,Clay County,46965,16498
Iowa,Clayton County,54832.5,17726
Iowa,Clinton County,60668.5,47558
Iowa,Crawford County,49170,17082
Iowa,Dallas County,86162,80631
Iowa,Delaware County,51616,17393
Iowa,Dubuque County,57130.75,96850
Iowa,Fayette County,47709,20142
Iowa,Franklin County,50078,10319
Iowa,Greene County,52637,8944
Iowa,Grundy County,61580,12405
Iowa,Guthrie County,0,10649
Iowa,Hardin County,58296,17253
Iowa,Harrison County,21702,14139
Iowa,Henry County,38692,19843
Iowa,Humboldt County,39951.5,9556
Iowa,Ida County,59468,6968
Iowa,Iowa County,66985,16282
Iowa,Jackson County,45588,19366
Iowa,Jasper County,58118,36750
Iowa,Jefferson County,56939,17906
Iowa,Johnson County,88947,144943
Iowa,Keokuk County,49044,10171
Iowa,Linn County,83279,220271
Iowa,Louisa County,58768,11285
Iowa,Lyon County,54713,11747
Iowa,Madison County,36803,15720
Iowa,Mahaska County,52650,22312
Iowa,Marion County,47388,33109
Iowa,Marshall County,55272.5,40352
Iowa,Mitchell County,45202.25,10676
Iowa,Monona County,51276,8866
Iowa,Muscatine County,82957,43068
Iowa,O'Brien County,58156,13926
Iowa,Osceola County,50622.5,6160
Iowa,Palo Alto County,39399,9140
Iowa,Pocahontas County,46480.5,6967
Iowa,Pottawattamie County,64656,93563
Iowa,Poweshiek County,71185,18358
Iowa,Ringgold County,44099,4977
Iowa,Scott County,69952,171903
Iowa,Shelby County,48869,11789
Iowa,Sioux County,74319,34754
Iowa,Story County,60171,96636
Iowa,Tama County,60727,17217
Iowa,Union County,42428,12430
Iowa,Warren County,120279,48468
Iowa,Washington County,49947.33333,22145
Iowa,Webster County,52751.5,37066
Iowa,Winneshiek County,50591,20745
Iowa,Woodbury County,64391,102492
Iowa,Worth County,58951,7503
Kansas,Allen County,63857.40506,12683
Kansas,Anderson County,39479.33333,7816
Kansas,Atchison County,38310,16418
Kansas,Barton County,35428,27159
Kansas,Bourbon County,39362,14733
Kansas,Brown County,51330,9708
Kansas,Butler County,60327,66249
Kansas,Chautauqua County,34477,3387
Kansas,Clay County,45244.66667,8293
Kansas,Cowley County,47779,35752
Kansas,Dickinson County,58429.5,19206
Kansas,Doniphan County,62117.5,7788
Kansas,Ford County,66739,34629
Kansas,Franklin County,48299,25469
Kansas,Geary County,44638,36681
Kansas,Hamilton County,55744,2568
Kansas,Harper County,51200,5781
Kansas,Harvey County,60626,34802
Kansas,Jefferson County,56821.66667,18794
Kansas,Jewell County,41351,2963
Kansas,Johnson County,134274,579684
Kansas,Lincoln County,44595,3142
Kansas,Linn County,43313,9580
Kansas,Marion County,44646,12053
Kansas,Marshall County,47318,9845
Kansas,McPherson County,51802.5,28648
Kansas,Montgomery County,47717,33436
Kansas,Morris County,27433.5,5628
Kansas,Nemaha County,50036,10094
Kansas,Neosho County,33776.5,16287
Kansas,Osborne County,39522,3641
Kansas,Phillips County,53113,5420
Kansas,Pottawatomie County,50844.5,23123
Kansas,Reno County,41802,63596
Kansas,Republic County,41911,4688
Kansas,Rice County,48946.5,9925
Kansas,Riley County,52725,77185
Kansas,Rooks County,53879,5179
Kansas,Saline County,54134,55429
Kansas,Scott County,66946,4948
Kansas,Sedgwick County,70743,511083
Kansas,Shawnee County,51194.5,178689
Kansas,Sherman County,47115,5964
Kansas,Stafford County,42810.5,4215
Kansas,Thomas County,56476,7895
Kansas,Washington County,49153,5568
Kentucky,Adair County,55499.625,19162
Kentucky,Ballard County,48594,8216
Kentucky,Barren County,40593,43546
Kentucky,Bath County,38123,12203
Kentucky,Boone County,75313,128161
Kentucky,Boyle County,41039,29782
Kentucky,Bracken County,35336,8290
Kentucky,Breathitt County,37451,13363
Kentucky,Campbell County,47986,92124
Kentucky,Carlisle County,30693,4852
Kentucky,Carroll County,42401,10682
Kentucky,Crittenden County,61631,9168
Kentucky,Floyd County,45246,37531
Kentucky,Fulton County,52294,6266
Kentucky,Graves County,41606,37248
Kentucky,Hardin County,50290,106272
Kentucky,Harlan County,30021,27506
Kentucky,Hart County,52509,18421
Kentucky,Henderson County,45485,46344
Kentucky,Hopkins County,35761.5,46055
Kentucky,Jefferson County,88755.75,764946
Kentucky,Jessamine County,47752,51809
Kentucky,Kenton County,57867,164478
Kentucky,Knott County,40325,15680
Kentucky,Knox County,39632,31465
Kentucky,Letcher County,51944,23049
Kentucky,Lewis County,19575,13663
Kentucky,Livingston County,70695,9289
Kentucky,Logan County,41098,26746
Kentucky,Marion County,42026,19212
Kentucky,Meade County,62987.5,27725
Kentucky,Muhlenberg County,36823,31245
